order_item_id,order_id,product_id,quantity,discount
ITM00001,ORD00001,PRD0020,6,0.2
ITM00002,ORD00002,PRD0001,6,0.2
ITM00003,ORD00002,PRD0006,3,0
ITM00004,ORD00002,PRD0009,3,0
ITM00005,ORD00003,PRD0005,6,0.05
ITM00006,ORD00003,PRD0019,1,0
ITM00007,ORD00004,PRD0003,6,0.1
ITM00008,ORD00005,PRD0013,4,0
ITM00009,ORD00005,PRD0014,2,0
ITM00010,ORD00006,PRD0024,5,0.1
ITM00011,ORD00006,PRD0011,1,0
ITM00012,ORD00006,PRD0025,2,0
ITM00013,ORD00007,PRD0022,1,0
ITM00014,ORD00008,PRD0022,4,0.05
ITM00015,ORD00008,PRD0014,3,0
ITM00016,ORD00008,PRD0016,5,0
ITM00017,ORD00008,PRD0020,3,0.05
ITM00018,ORD00009,PRD0010,6,0.15
ITM00019,ORD00010,PRD0017,2,0.05
ITM00020,ORD00010,PRD0022,5,0
ITM00021,ORD00010,PRD0010,1,0
ITM00022,ORD00010,PRD0002,3,0
ITM00023,ORD00011,PRD0025,3,0
ITM00024,ORD00011,PRD0009,1,0
ITM00025,ORD00012,PRD0024,4,0.1
ITM00026,ORD00012,PRD0014,6,0
ITM00027,ORD00012,PRD0006,5,0.1
ITM00028,ORD00012,PRD0005,6,0.2
ITM00029,ORD00013,PRD0003,1,0.05
ITM00030,ORD00013,PRD0013,1,0.05
ITM00031,ORD00013,PRD0024,1,0.2
ITM00032,ORD00014,PRD0019,6,0.15
ITM00033,ORD00014,PRD0014,4,0
ITM00034,ORD00014,PRD0013,1,0.05
ITM00035,ORD00015,PRD0011,2,0.2
ITM00036,ORD00016,PRD0023,1,0
ITM00037,ORD00016,PRD0012,4,0.1
ITM00038,ORD00016,PRD0003,4,0.1
ITM00039,ORD00016,PRD0014,1,0.05
ITM00040,ORD00017,PRD0024,3,0.2
ITM00041,ORD00017,PRD0011,2,0
ITM00042,ORD00017,PRD0008,5,0.15
ITM00043,ORD00018,PRD0017,5,0
ITM00044,ORD00019,PRD0012,2,0
ITM00045,ORD00019,PRD0024,1,0
ITM00046,ORD00019,PRD0021,3,0
ITM00047,ORD00020,PRD0020,6,0
ITM00048,ORD00020,PRD0005,2,0.2
ITM00049,ORD00021,PRD0015,5,0.15
ITM00050,ORD00021,PRD0025,6,0.1
ITM00051,ORD00021,PRD0019,3,0.2
ITM00052,ORD00021,PRD0022,6,0
ITM00053,ORD00022,PRD0015,4,0.05
ITM00054,ORD00022,PRD0003,6,0
ITM00055,ORD00023,PRD0019,5,0
ITM00056,ORD00023,PRD0002,3,0.05
ITM00057,ORD00023,PRD0012,4,0
ITM00058,ORD00024,PRD0012,3,0
ITM00059,ORD00025,PRD0020,5,0.1
ITM00060,ORD00026,PRD0015,6,0
ITM00061,ORD00026,PRD0019,4,0.2
ITM00062,ORD00026,PRD0018,5,0.15
ITM00063,ORD00026,PRD0026,2,0
ITM00064,ORD00027,PRD0017,1,0.2
ITM00065,ORD00027,PRD0005,3,0.15
ITM00066,ORD00027,PRD0002,1,0.1
ITM00067,ORD00027,PRD0015,6,0
ITM00068,ORD00028,PRD0008,6,0.05
ITM00069,ORD00029,PRD0017,3,0
ITM00070,ORD00029,PRD0020,4,0.05
ITM00071,ORD00029,PRD0006,3,0.15
ITM00072,ORD00029,PRD0012,5,0
ITM00073,ORD00030,PRD0003,5,0.15
ITM00074,ORD00030,PRD0011,4,0
ITM00075,ORD00030,PRD0004,3,0.15
ITM00076,ORD00031,PRD0011,5,0.15
ITM00077,ORD00031,PRD0003,2,0
ITM00078,ORD00032,PRD0021,4,0
ITM00079,ORD00032,PRD0023,5,0.15
ITM00080,ORD00032,PRD0022,1,0
ITM00081,ORD00033,PRD0021,6,0.15
ITM00082,ORD00033,PRD0026,6,0.15
ITM00083,ORD00033,PRD0011,5,0
ITM00084,ORD00033,PRD0005,6,0.15
ITM00085,ORD00034,PRD0017,2,0
ITM00086,ORD00034,PRD0012,3,0.2
ITM00087,ORD00034,PRD0001,4,0
ITM00088,ORD00034,PRD0010,2,0
ITM00089,ORD00035,PRD0003,1,0.1
ITM00090,ORD00035,PRD0010,5,0.2
ITM00091,ORD00036,PRD0022,3,0.2
ITM00092,ORD00037,PRD0020,2,0
ITM00093,ORD00037,PRD0013,2,0.2
ITM00094,ORD00038,PRD0024,1,0.05
ITM00095,ORD00038,PRD0015,3,0.15
ITM00096,ORD00039,PRD0015,3,0.2
ITM00097,ORD00039,PRD0020,6,0.2
ITM00098,ORD00040,PRD0008,4,0.2
ITM00099,ORD00040,PRD0018,2,0
ITM00100,ORD00040,PRD0010,6,0.1
ITM00101,ORD00040,PRD0026,4,0.05
ITM00102,ORD00041,PRD0025,5,0.05
ITM00103,ORD00041,PRD0013,2,0.2
ITM00104,ORD00041,PRD0017,2,0.2
ITM00105,ORD00042,PRD0009,6,0.05
ITM00106,ORD00042,PRD0002,3,0.1
ITM00107,ORD00043,PRD0023,5,0.2
ITM00108,ORD00044,PRD0010,1,0.2
ITM00109,ORD00045,PRD0009,5,0
ITM00110,ORD00045,PRD0015,4,0
ITM00111,ORD00046,PRD0015,1,0.05
ITM00112,ORD00046,PRD0012,1,0.05
ITM00113,ORD00047,PRD0008,3,0
ITM00114,ORD00047,PRD0013,1,0
ITM00115,ORD00047,PRD0003,1,0.2
ITM00116,ORD00048,PRD0026,3,0.2
ITM00117,ORD00048,PRD0005,4,0.15
ITM00118,ORD00048,PRD0002,2,0.2
ITM00119,ORD00049,PRD0015,1,0
ITM00120,ORD00049,PRD0020,2,0.2
ITM00121,ORD00049,PRD0001,2,0.1
ITM00122,ORD00049,PRD0003,6,0.1
ITM00123,ORD00050,PRD0004,3,0
ITM00124,ORD00050,PRD0025,1,0
ITM00125,ORD00050,PRD0010,4,0.15
ITM00126,ORD00050,PRD0008,5,0.05
ITM00127,ORD00051,PRD0004,4,0.1
ITM00128,ORD00052,PRD0021,5,0.1
ITM00129,ORD00053,PRD0023,3,0.05
ITM00130,ORD00053,PRD0005,1,0.1
ITM00131,ORD00054,PRD0008,2,0.15
ITM00132,ORD00054,PRD0019,6,0
ITM00133,ORD00054,PRD0014,5,0
ITM00134,ORD00055,PRD0017,5,0.1
ITM00135,ORD00056,PRD0013,4,0
ITM00136,ORD00057,PRD0012,3,0.2
ITM00137,ORD00057,PRD0009,1,0
ITM00138,ORD00057,PRD0024,2,0.15
ITM00139,ORD00057,PRD0001,6,0.15
ITM00140,ORD00058,PRD0025,5,0.15
ITM00141,ORD00059,PRD0005,5,0
ITM00142,ORD00059,PRD0002,6,0
ITM00143,ORD00059,PRD0012,6,0.05
ITM00144,ORD00060,PRD0021,1,0.15
ITM00145,ORD00060,PRD0006,4,0
ITM00146,ORD00060,PRD0026,3,0
ITM00147,ORD00060,PRD0005,1,0.2
ITM00148,ORD00061,PRD0002,3,0.1
ITM00149,ORD00061,PRD0011,4,0.2
ITM00150,ORD00062,PRD0009,2,0
ITM00151,ORD00062,PRD0002,3,0.2
ITM00152,ORD00062,PRD0025,1,0.2
ITM00153,ORD00062,PRD0021,6,0
ITM00154,ORD00063,PRD0004,4,0.05
ITM00155,ORD00063,PRD0026,6,0.05
ITM00156,ORD00063,PRD0012,4,0
ITM00157,ORD00064,PRD0016,4,0
ITM00158,ORD00064,PRD0023,5,0
ITM00159,ORD00065,PRD0024,4,0
ITM00160,ORD00066,PRD0020,3,0
ITM00161,ORD00066,PRD0006,1,0
ITM00162,ORD00066,PRD0018,6,0
ITM00163,ORD00066,PRD0010,3,0.05
ITM00164,ORD00067,PRD0006,4,0
ITM00165,ORD00067,PRD0023,6,0.2
ITM00166,ORD00067,PRD0015,3,0.1
ITM00167,ORD00067,PRD0012,4,0
ITM00168,ORD00068,PRD0003,6,0.15
ITM00169,ORD00069,PRD0012,6,0
ITM00170,ORD00069,PRD0017,1,0
ITM00171,ORD00069,PRD0026,5,0.15
ITM00172,ORD00069,PRD0024,4,0
ITM00173,ORD00070,PRD0003,6,0
ITM00174,ORD00070,PRD0008,3,0.05
ITM00175,ORD00071,PRD0020,2,0.15
ITM00176,ORD00072,PRD0012,5,0
ITM00177,ORD00072,PRD0015,5,0
ITM00178,ORD00072,PRD0025,4,0
ITM00179,ORD00072,PRD0003,6,0
ITM00180,ORD00073,PRD0004,6,0
ITM00181,ORD00073,PRD0001,4,0.1
ITM00182,ORD00074,PRD0018,3,0.15
ITM00183,ORD00074,PRD0004,4,0
ITM00184,ORD00074,PRD0009,5,0
ITM00185,ORD00074,PRD0025,6,0.05
ITM00186,ORD00075,PRD0004,1,0.05
ITM00187,ORD00075,PRD0005,2,0.15
ITM00188,ORD00076,PRD0003,6,0
ITM00189,ORD00076,PRD0026,6,0
ITM00190,ORD00076,PRD0022,5,0.1
ITM00191,ORD00076,PRD0011,3,0
ITM00192,ORD00077,PRD0023,2,0.2
ITM00193,ORD00077,PRD0021,3,0.1
ITM00194,ORD00078,PRD0004,2,0
ITM00195,ORD00078,PRD0007,4,0
ITM00196,ORD00079,PRD0018,4,0.2
ITM00197,ORD00079,PRD0019,5,0
ITM00198,ORD00079,PRD0012,5,0
ITM00199,ORD00080,PRD0010,4,0.15
ITM00200,ORD00081,PRD0017,1,0
ITM00201,ORD00081,PRD0014,3,0.15
ITM00202,ORD00081,PRD0025,1,0.05
ITM00203,ORD00081,PRD0019,4,0.15
ITM00204,ORD00082,PRD0005,6,0.1
ITM00205,ORD00082,PRD0025,2,0.2
ITM00206,ORD00082,PRD0018,2,0.05
ITM00207,ORD00083,PRD0004,5,0
ITM00208,ORD00084,PRD0006,2,0
ITM00209,ORD00084,PRD0011,5,0
ITM00210,ORD00084,PRD0023,1,0
ITM00211,ORD00085,PRD0021,3,0
ITM00212,ORD00085,PRD0018,6,0
ITM00213,ORD00086,PRD0017,6,0
ITM00214,ORD00087,PRD0006,5,0.15
ITM00215,ORD00087,PRD0022,5,0
ITM00216,ORD00088,PRD0001,1,0
ITM00217,ORD00089,PRD0021,5,0.05
ITM00218,ORD00089,PRD0007,5,0.15
