order_id,customer_id,order_date,region,ship_mode,order_status
ORD00001,CUST0035,2024-01-16,East,Standard,Delivered
ORD00002,CUST0032,2025-05-07,West,Express,Processing
ORD00003,CUST0011,2025-01-23,East,Express,Delivered
ORD00004,CUST0051,2025-04-10,North,Express,Delivered
ORD00005,CUST0047,2025-05-13,West,Standard,Delivered
ORD00006,CUST0004,2024-03-03,North,Standard,Delivered
ORD00007,CUST0031,2025-05-29,West,Standard,Cancelled
ORD00008,CUST0006,2024-07-09,East,Same Day,Delivered
ORD00009,CUST0056,2024-08-28,South,Standard,Processing
ORD00010,CUST0037,2024-09-09,East,Same Day,Delivered
ORD00011,CUST0043,2025-06-19,North,Express,Delivered
ORD00012,CUST0046,2024-11-17,West,Express,Delivered
ORD00013,CUST0043,2024-11-03,South,Express,Processing
ORD00014,CUST0060,2024-03-15,East,Express,Delivered
ORD00015,CUST0037,2024-04-12,East,Same Day,Delivered
ORD00016,CUST0017,2024-05-15,North,Standard,Processing
ORD00017,CUST0024,2024-10-18,West,Express,Shipped
ORD00018,CUST0046,2024-11-05,East,Same Day,Shipped
ORD00019,CUST0020,2024-04-16,West,Express,Delivered
ORD00020,CUST0007,2024-06-08,North,Express,Delivered
ORD00021,CUST0046,2024-12-17,West,Same Day,Delivered
ORD00022,CUST0017,2025-06-01,South,Express,Processing
ORD00023,CUST0055,2024-02-22,East,Same Day,Delivered
ORD00024,CUST0018,2024-02-15,East,Express,Shipped
ORD00025,CUST0041,2024-09-25,West,Same Day,Delivered
ORD00026,CUST0046,2025-03-13,East,Standard,Delivered
ORD00027,CUST0057,2024-06-01,East,Express,Delivered
ORD00028,CUST0010,2025-03-16,West,Standard,Delivered
ORD00029,CUST0058,2024-02-10,North,Standard,Delivered
ORD00030,CUST0043,2024-04-15,North,Same Day,Processing
ORD00031,CUST0027,2024-06-07,West,Standard,Cancelled
ORD00032,CUST0052,2024-06-30,South,Standard,Delivered
ORD00033,CUST0060,2024-12-06,South,Same Day,Processing
ORD00034,CUST0052,2024-09-11,North,Standard,Shipped
ORD00035,CUST0007,2025-01-26,East,Express,Delivered
ORD00036,CUST0053,2025-04-16,North,Express,Shipped
ORD00037,CUST0056,2024-08-21,West,Standard,Delivered
ORD00038,CUST0026,2024-12-02,North,Standard,Cancelled
ORD00039,CUST0018,2024-12-25,South,Same Day,Cancelled
ORD00040,CUST0035,2024-12-05,East,Standard,Processing
ORD00041,CUST0017,2024-07-01,North,Standard,Delivered
ORD00042,CUST0028,2024-12-19,North,Express,Delivered
ORD00043,CUST0033,2024-04-28,South,Same Day,Delivered
ORD00044,CUST0003,2025-03-22,East,Same Day,Processing
ORD00045,CUST0035,2024-07-20,North,Express,Delivered
ORD00046,CUST0043,2024-12-04,North,Same Day,Shipped
ORD00047,CUST0047,2024-11-03,North,Same Day,Delivered
ORD00048,CUST0026,2024-10-29,West,Standard,Delivered
ORD00049,CUST0025,2024-06-27,North,Express,Delivered
ORD00050,CUST0001,2024-11-07,North,Standard,Delivered
ORD00051,CUST0038,2024-11-25,South,Express,Delivered
ORD00052,CUST0014,2025-06-07,South,Same Day,Delivered
ORD00053,CUST0006,2024-10-17,North,Standard,Shipped
ORD00054,CUST0049,2024-08-28,North,Standard,Shipped
ORD00055,CUST0010,2024-01-26,East,Standard,Cancelled
ORD00056,CUST0040,2024-03-15,South,Express,Processing
ORD00057,CUST0037,2024-07-18,South,Express,Delivered
ORD00058,CUST0010,2024-01-06,East,Express,Delivered
ORD00059,CUST0052,2025-06-14,South,Standard,Delivered
ORD00060,CUST0059,2024-05-04,South,Standard,Shipped
ORD00061,CUST0043,2025-06-27,North,Express,Delivered
ORD00062,CUST0047,2025-05-31,South,Same Day,Delivered
ORD00063,CUST0011,2025-05-01,South,Express,Shipped
ORD00064,CUST0054,2024-10-10,South,Same Day,Delivered
ORD00065,CUST0029,2024-03-20,North,Standard,Delivered
ORD00066,CUST0021,2024-03-23,West,Standard,Delivered
ORD00067,CUST0045,2024-06-05,West,Standard,Delivered
ORD00068,CUST0022,2025-04-22,South,Standard,Delivered
ORD00069,CUST0027,2025-02-02,East,Same Day,Delivered
ORD00070,CUST0001,2024-12-26,North,Express,Processing
ORD00071,CUST0054,2025-03-05,West,Express,Delivered
ORD00072,CUST0028,2025-05-12,East,Express,Delivered
ORD00073,CUST0044,2025-02-18,West,Express,Processing
ORD00074,CUST0040,2024-01-28,South,Same Day,Delivered
ORD00075,CUST0002,2024-03-26,South,Standard,Processing
ORD00076,CUST0012,2024-02-21,North,Express,Delivered
ORD00077,CUST0030,2024-11-30,North,Express,Delivered
ORD00078,CUST0054,2025-03-07,North,Standard,Delivered
ORD00079,CUST0048,2024-02-23,North,Standard,Delivered
ORD00080,CUST0050,2024-02-11,East,Standard,Delivered
ORD00081,CUST0002,2024-06-05,West,Standard,Delivered
ORD00082,CUST0008,2024-08-11,South,Same Day,Delivered
ORD00083,CUST0024,2024-06-20,East,Standard,Cancelled
ORD00084,CUST0007,2024-01-27,North,Same Day,Delivered
ORD00085,CUST0025,2025-02-10,West,Standard,Delivered
ORD00086,CUST0054,2024-09-05,East,Same Day,Shipped
ORD00087,CUST0055,2024-05-03,East,Express,Delivered
ORD00088,CUST0043,2025-01-14,East,Same Day,Delivered
ORD00089,CUST0001,2025-03-06,South,Standard,Delivered
